"group","gene","scores","logfoldchanges","pvals","pvals_adj","unique_group"
"MKPP","EPM2A",30.140387,1.605125,1.43368239338159e-199,1.72006726386824e-198,"MKPP_unique_upregulated"
"MKPP","JAM3",29.975044,1.6621335,2.07587460969879e-197,2.45888101468437e-196,"MKPP_unique_upregulated"
"MKPP","C8orf82",29.480349,1.7673403,5.14285344083973e-191,5.82717754084261e-190,"MKPP_unique_upregulated"
"MKPP","RAP2C-AS1",29.47727,1.5033932,5.63212124891725e-191,6.37416706760051e-190,"MKPP_unique_upregulated"
"MKPP","LINC02324",29.415195,2.2599647,3.51081946145487e-190,3.9596377649423e-189,"MKPP_unique_upregulated"
"MKPP","TTTY14",28.785555,1.9931072,3.25277380438318e-182,3.44987955578157e-181,"MKPP_unique_upregulated"
"MKPP","ANKRD33B",28.635353,1.6760359,2.43985582329968e-180,2.5682140263759e-179,"MKPP_unique_upregulated"
"MKPP","HDGFL2",28.634382,1.6676403,2.50872328521933e-180,2.63928479812752e-179,"MKPP_unique_upregulated"
"MKPP","SLAIN1",28.266861,1.8402556,8.83320820087795e-176,9.04490937073677e-175,"MKPP_unique_upregulated"
"MKPP","SLC24A1",28.099775,1.5757971,9.85803307785015e-174,9.90256628682606e-173,"MKPP_unique_upregulated"
"MKPP","TXK",27.877409,1.8332042,5.01392460722394e-171,4.95267424099737e-170,"MKPP_unique_upregulated"
"MKPP","CHSY1",27.536545,1.6818359,6.41370504724426e-167,6.14911221775971e-166,"MKPP_unique_upregulated"
"MKPP","SBNO2",27.392923,1.5219134,3.33018300162775e-165,3.15569108841898e-164,"MKPP_unique_upregulated"
"MKPP","GLYATL1",26.863853,1.633723,5.81099795475449e-159,5.27654793404342e-158,"MKPP_unique_upregulated"
"MKPP","BOD1",26.757998,1.567875,9.9665004602379e-158,8.9707672955812e-157,"MKPP_unique_upregulated"
"MKPP","CNNM4",26.226173,1.5757368,1.3367846323293e-151,1.14628403529446e-150,"MKPP_unique_upregulated"
"MKPP","ITFG2-AS1",26.208143,1.6721641,2.14614452337466e-151,1.83788866666938e-150,"MKPP_unique_upregulated"
"MKPP","RGPD8",26.135288,1.6449159,1.4485760493966e-150,1.23457038913732e-149,"MKPP_unique_upregulated"
"MKPP","RGS7",25.808067,1.7070086,7.19835572045746e-147,5.96095745822732e-146,"MKPP_unique_upregulated"
"MKPP","POC1B-AS1",25.807098,1.7593136,7.38110845648336e-147,6.1097094025578e-146,"MKPP_unique_upregulated"
"MKPP","SAMD1",25.36629,1.5606979,5.94170530185781e-142,4.71481303109301e-141,"MKPP_unique_upregulated"
"MKPP","BCL9L",25.359892,1.5469975,6.9901662340913e-142,5.54003940334948e-141,"MKPP_unique_upregulated"
"MKPP","PPP2CB",25.216127,1.5604813,2.66590851165375e-140,2.09084159342848e-139,"MKPP_unique_upregulated"
"MKPP","FAM43A",25.027596,1.7967392,3.06211666221483e-138,2.3692961188699e-137,"MKPP_unique_upregulated"
"MKPP","LINGO3",24.993528,1.5796899,7.18861979205943e-138,5.54680252724838e-137,"MKPP_unique_upregulated"
"MKPP","GIMAP7",24.98797,1.7659465,8.26187484943789e-138,6.36740319235135e-137,"MKPP_unique_upregulated"
"MKPP","MTHFD1L",24.818943,1.5116838,5.59907096524634e-136,4.26313699019224e-135,"MKPP_unique_upregulated"
"MKPP","IL7R",24.81132,1.5128243,6.76723497589295e-136,5.14857130669803e-135,"MKPP_unique_upregulated"
"MKPP","MPZL3",24.709394,1.5786852,8.47665703578692e-135,6.37475883459948e-134,"MKPP_unique_upregulated"
"MKPP","CD3D",24.491919,1.5859901,1.80112109072481e-132,1.32597206558703e-131,"MKPP_unique_upregulated"
"MKPP","MED12L",24.293259,1.859518,2.30979434093238e-130,1.66659497283794e-129,"MKPP_unique_upregulated"
"MKPP","ARHGAP19",23.741968,1.5066952,1.3300879750192e-124,9.15482289664989e-124,"MKPP_unique_upregulated"
"MKPP","CCNT2-AS1",23.555933,1.5309907,1.0913432082825e-122,7.38941311407335e-122,"MKPP_unique_upregulated"
"MKPP","ASPHD2",23.29027,1.7835587,5.56339762081331e-120,3.6840800217961e-119,"MKPP_unique_upregulated"
